feature,importance_clf,importance_reg,rank_clf
solar_radiation_rolling_mean_72h,0.0064861457373116905,0.0063084802778353485,47
dew_point_rolling_min_24h,0.006436468978512748,0.004545077830198069,48
dew_point_rolling_mean_24h,0.006316095161013112,0.007576538114575191,49
air_velocity_rolling_std_72h,0.0059415116664512345,0.006396876089630595,50
humidity_rolling_mean_24h,0.004754912920955294,0.003962517559280781,51
dew_point_rolling_max_24h,0.004668737805501301,0.011303594786102104,52
humidity_rolling_min_24h,0.004121765513548899,0.004230784017452285,53
night_humidity_mean_24h,0.004012056137588085,0.004224903988032936,54
co2_rolling_min_24h,0.003715713617538938,0.0029825718393659112,55
temperature_rolling_std_72h,0.003635688069913415,0.0045603198526436945,56
air_velocity_rolling_mean_24h,0.0035157070620045524,0.0032679841201548017,57
solar_radiation_rolling_mean_24h,0.003238457293523754,0.0029909460370693744,58
solar_radiation_rolling_std_24h,0.003105008902077127,0.0026509778196271167,59
day_humidity_mean_24h,0.0030304429521103723,0.00324037898355148,60
air_velocity_rolling_min_12h,0.002922468120412115,0.002067718547008573,61
solar_radiation_rolling_max_24h,0.002848312440159416,0.003074097765640618,62
air_velocity_rolling_mean_6h,0.0026765193885750988,0.0019297164909380803,63
day_solar_mean_24h,0.0024811170705177515,0.0032111535120763982,64
air_velocity_rolling_max_24h,0.0023765459698002374,0.004070323669479483,65
air_velocity_rolling_min_6h,0.002338539650992891,0.0017200203966854294,66
day_co2_mean_24h,0.0023030608481472373,0.00355737211366718,67
vpd_rolling_min_12h,0.0022840784515573173,0.0008686798384637784,68
air_velocity,0.0022180463515616864,0.0019245908821900436,69
air_velocity_rolling_max_12h,0.002193112879179829,0.002142783489504938,70
air_velocity_lag_2h,0.0021790512978860327,0.0021072899949530163,71
co2_rolling_std_24h,0.0020710074342312934,0.003135647753830934,72
air_velocity_rolling_mean_12h,0.0019123668056594614,0.002622180196432263,73
air_velocity_lag_12h,0.0018758918309461743,0.0017454411672915351,74
air_velocity_lag_24h,0.0018504145964551018,0.0023044783339722374,75
air_velocity_lag_6h,0.0016737885818979622,0.001928375045839053,76
air_velocity_lag_1h,0.0016568623896422033,0.0024926278182638155,77
humidity_rolling_std_72h,0.0015692000017865238,0.001675039114425621,78
air_velocity_lag_3h,0.0015644806847967651,0.0015204952983024923,79
vpd_rolling_std_24h,0.001351955014899328,0.001958897452644624,80
air_velocity_rolling_max_6h,0.0013488813311679055,0.001718954365757463,81
humidity_rolling_min_12h,0.0010093721025883928,0.0006732459047835843,82
air_velocity_rolling_std_24h,0.0009308970485780229,0.0007671804540224483,83
humidity_rolling_max_12h,0.0007928389087210158,0.0010817714681588667,84
temperature_rolling_max_12h,0.0007786953774658737,0.0007912250018440894,85
dew_point_rolling_std_24h,0.0007075243125721163,0.0008083393327945543,86
diurnal_temperature_range_24h,0.0007051794885900223,0.0006364153961460246,87
temperature_rolling_min_12h,0.0006668225566960986,0.00033770091498822085,88
vpd_rolling_max_12h,0.0004979943423897682,0.0002910871664811906,89
dew_point_rolling_min_12h,0.0004423606642009423,0.0002926509864844767,90
humidity_rolling_max_6h,0.0004142084176173863,5.147411208263288e-05,91
temperature_rolling_std_24h,0.0003932505484605656,0.0008389770767942712,92
dew_point_rolling_max_12h,0.00037063938449599133,0.0007369029868663326,93
solar_radiation_rolling_max_12h,0.00032554733248924515,0.00027418736176510323,94
humidity_rolling_mean_6h,0.0003168473745423069,0.00016102887523332816,95
